140000000,1,20.576956
150000000,1,23.016325
160000000,1,24.547368
170000000,1,27.114109
180000000,1,28.496175
190000000,1,29.152025
200000000,1,30.877718
140000000,2,12.247309
150000000,2,13.389494
160000000,2,14.777234
170000000,2,15.648534
180000000,2,16.60878
190000000,2,17.576119
200000000,2,18.464081
140000000,3,10.305873
150000000,3,11.052143
160000000,3,11.855056
170000000,3,12.621804
180000000,3,13.339421
190000000,3,14.070703
200000000,3,14.764509
140000000,4,9.308608
150000000,4,9.992087
160000000,4,10.528806
170000000,4,11.299583
180000000,4,11.884057
190000000,4,12.681131
200000000,4,13.224176
140000000,5,8.629039
150000000,5,9.38401
160000000,5,9.849437
170000000,5,10.545987
180000000,5,11.215076
190000000,5,11.753172
200000000,5,12.394633
140000000,6,7.837832
150000000,6,8.536203
160000000,6,9.0753
170000000,6,9.734959
180000000,6,10.198951
190000000,6,10.799686
200000000,6,11.321812
140000000,7,7.220033
150000000,7,7.850147
160000000,7,8.485289
170000000,7,9.060356
180000000,7,9.489847
190000000,7,9.944211
200000000,7,10.559242
140000000,8,6.869194
150000000,8,7.352214
160000000,8,7.898519
170000000,8,8.357939
180000000,8,8.812396
190000000,8,9.329848
200000000,8,9.756023
140000000,9,7.019579
150000000,9,7.497083
160000000,9,7.894719
170000000,9,8.561745
180000000,9,8.847505
190000000,9,9.540098
200000000,9,9.948105
140000000,10,6.841492
150000000,10,7.255891
160000000,10,7.728482
170000000,10,8.503456
180000000,10,8.730237
190000000,10,9.362687
200000000,10,9.780997
